California,Texas,New York,Florida,Illinois,Georgia,Ohio
4.2,3.6,3.8,3.3,3.5,3.3,4.5
4.3,3.7,3.9,3.3,3.6,3.5,4.7
4.5,4.9,3.9,4.9,3.7,3.6,4.9
16.0,12.9,16.2,14.0,16.5,12.5,16.4
15.6,11.6,15.7,14.2,15.4,9.4,14.9
14.1,10.2,15.0,11.6,14.2,8.4,10.3
13.2,9.3,14.7,11.5,12.0,7.6,9.3
12.3,6.9,11.7,7.9,11.1,7.0,9.0
10.6,7.9,10.0,7.2,10.4,6.5,7.4
9.8,7.3,8.7,5.8,8.1,5.9,5.6
8.7,7.2,8.7,5.4,8.1,5.6,5.6
9.3,6.9,8.7,5.1,8.0,5.3,5.6
9.0,6.8,8.8,4.8,7.7,5.1,5.3
